Comic,Character,No of Appearances,First Appearance,Align,Sex,ID,Hair Color,Eye Color
DC,Batman ,3093,"1939, May",Good Characters,Male Characters,Secret Identity,Black Hair,Blue Eyes
DC,Superman ,2496,"1986, October",Good Characters,Male Characters,Secret Identity,Black Hair,Blue Eyes
DC,Green Lantern ,1565,"1959, October",Good Characters,Male Characters,Secret Identity,Brown Hair,Brown Eyes
DC,James Gordon ,1316,"1987, February",Good Characters,Male Characters,Public Identity,White Hair,Brown Eyes
Marvel,Spider-Man ,4043,"1962, August",Good Characters,Male Characters,Secret Identity,Brown Hair,Hazel Eyes
Marvel,Captain America ,3360,"1941, March",Good Characters,Male Characters,Public Identity,White Hair,Blue Eyes
Marvel,Wolverine ,3061,"1974, October",Neutral Characters,Male Characters,Public Identity,Black Hair,Blue Eyes
Marvel,Iron Man ,2961,"1963, March",Good Characters,Male Characters,Public Identity,Black Hair,Blue Eyes
